Model,Score
GeForce RTX 4090,38616
GeForce RTX 4090 D,37631
GeForce RTX 4080,34611
GeForce RTX 4080 SUPER,34054
GeForce RTX 4070 Ti,31769
GeForce RTX 4070 Ti SUPER,31738
Radeon RX 7900 XTX,30930
GeForce RTX 4070 SUPER,29977
GeForce RTX 3090 Ti,29745
Radeon PRO W7900,29191
Radeon RX 7900 XT,28849
Radeon PRO W7800,28601
RTX 6000 Ada Generation,28305
Radeon RX 6950 XT,28290
RTX 4500 Ada Generation,28261
GeForce RTX 4090 Laptop GPU,27875
GeForce RTX 3080 Ti,27172
GeForce RTX 4070,26977
Radeon RX 6900 XT,26841
GeForce RTX 3090,26788
GeForce RTX 3080 12GB,26681
Radeon RX 7900 GRE,26392
GeForce RTX 4080 Laptop GPU,25339
GeForce RTX 3080,25279
RTX 4000 Ada Generation,25073
Radeon RX 6800 XT,25032
RTX 5000 Ada Generation,24931
Radeon RX 7800 XT,24132
RTX 5000 Ada Generation Laptop GPU,24072
GeForce RTX 3070 Ti,23641
RTX 4000 Ada Generation Laptop GPU,22960
GeForce RTX 4060 Ti,22932
GeForce RTX 4060 Ti 16GB,22925
RTX A5000,22816
GeForce RTX 3070,22385
Radeon RX 7700 XT,22323
Radeon RX 6800,22281
Radeon RX 7900M,22112
RTX A6000,22072
NVIDIA A10,22064
GRID RTX6000-6Q,21987
RTX A4500,21782
GeForce RTX 2080 Ti,21780
Radeon 610M Ryzen 9 7845HX,21623
RTX A5500,21495
RTX 4000 SFF Ada Generation,21282
Radeon RX 6750 XT,20756
Radeon RX 6750 GRE 10GB,20644
GeForce RTX 3060 Ti,20534
Radeon PRO W7700,20016
TITAN RTX,19918
Radeon RX 6700 XT,19884
Radeon PRO W6800,19878
GeForce RTX 3080 Ti Laptop GPU,19875
Quadro GV100,19824
RTX 3500 Ada Generation Laptop GPU,19753
TITAN V,19743
Radeon RX 6750 GRE 12GB,19732
L40-8Q,19705
GeForce RTX 4070 Laptop GPU,19615
GeForce RTX 4060,19585
GeForce RTX 2080 SUPER,19585
Quadro RTX 8000,19480
RTX A4000,19397
TITAN Xp COLLECTORS EDITION,19071
Radeon RX 6700,18977
GeForce RTX 2080,18795
Quadro RTX 6000,18776
GeForce GTX 1080 Ti,18563
NVIDIA TITAN Xp,18513
NVIDIA A10G,18488
GeForce RTX 2070 SUPER,18249
GeForce RTX 3070 Ti Laptop GPU,18079
Radeon PRO W7600,18058
RTX 2000 Ada Generation,17901
A40-48Q,17864
GeForce RTX 4060 Laptop GPU,17693
RTX A4500 Laptop GPU,17632
Radeon Pro W5700X,17591
RTX A5500 Laptop GPU,17484
Radeon RX 7600 XT,17421
Radeon RX 6650 XT,17278
Radeon RX 6850M XT,17192
GeForce RTX 3060 12GB,17036
TITAN V CEO Edition,16988
Radeon VII,16690
Radeon RX 5700 XT,16628
Radeon RX 5700 XT 50th Anniversary,16615
GeForce RTX 2060 SUPER,16557
Radeon RX 6600 XT,16499
GeForce RTX 3080 Laptop GPU,16471
Quadro GP100,16374
Radeon RX 7600,16327
Tesla V100-SXM2-16GB,16235
GeForce RTX 2070,16162
RTX 3000 Ada Generation Laptop GPU,16058
RTX A5000 Laptop GPU,16041
Radeon Pro Vega II Duo,15977
Quadro RTX 5000,15965
Miracast display port driver V3,15910
Radeon RX 7700S,15900
GeForce RTX 2060 12GB,15892
Radeon PRO W6600,15824
Radeon Pro Vega II,15597
GeForce GTX 1080,15539
GeForce RTX 3070 Laptop GPU,15487
Radeon RX 6800S,15446
RTX A4000 Laptop GPU,15440
RTX 2000 Ada Generation Laptop GPU,15415
Quadro RTX 4000,15396
GeForce RTX 3060 8GB,15386
Radeon Pro W5700,15197
Quadro P6000,15133
Radeon RX 6600,15133
GeForce RTX 2080 (Mobile),15107
Radeon RX 6650M,15004
Radeon RX 6700S,14923
Quadro RTX 5000 (Mobile),14832
GeForce GTX 1070 Ti,14685
NVIDIA A40,14665
RTX A3000 12GB Laptop GPU,14488
Radeon RX 5700,14479
GeForce RTX 4050 Laptop GPU,14400
Radeon RX Vega 64,14353
Radeon RX 7600S,14172
GeForce RTX 2060,14150
RTX 1000 Ada Generation Laptop GPU,13982
RadeonT RX 6850M XT,13848
Radeon Pro WX 8200,13835
GeForce GTX 980 Ti,13809
GeForce RTX 2080 Super with Max-Q Design,13802
GeForce RTX 2070 Super with Max-Q Design,13779
RTX A2000,13754
Radeon PRO W7500,13722
Radeon Pro Vega 64X,13709
RTX A2000 12GB,13702
Radeon RX 6600M,13690
Radeon RX 6600S,13678
Radeon RX 5600 XT,13667
NVIDIA TITAN X,13660
Quadro RTX 5000 with Max-Q Design,13644
Radeon PRO W6600M,13549
GeForce GTX 1070,13514
Radeon RX 6700M,13465
GeForce RTX 3060 Laptop GPU,13371
Radeon RX 6800M,13288
Radeon RX Vega 56,13258
Radeon Vega Frontier Edition,13226
GeForce RTX 2080 with Max-Q Design,13139
Radeon PRO W6600X,13113
Intel Arc A770,13102
GeForce GTX TITAN X,13003
Radeon Pro Vega 64,12950
GeForce GTX 1660 Ti,12928
GeForce RTX 3050 8GB,12858
GeForce GTX 1660 SUPER,12769
Radeon Pro VII,12728
Quadro RTX 4000 with Max-Q Design,12663
Tesla T10,12650
Radeon Pro 5700 XT,12613
RTX A3000 Laptop GPU,12538
Tesla P40,12499
Quadro RTX 4000 (Mobile),12474
Radeon Pro WX 9100,12464
Quadro P5000,12453
Quadro P5200 with Max-Q Design,12355
GeForce RTX 2070 (Mobile),12354
Radeon Pro Vega 56,12354
Tesla V100-PCIE-16GB,12328
Quadro P5200,12304
Radeon RX 6850M,12274
Radeon Pro V520 MxGPU,12258
GeForce RTX 3050 OEM,12017
Radeon RX 5600 OEM,12005
Intel Arc A750,11952
Quadro M6000 24GB,11890
Radeon Pro 5700,11844
Quadro M6000,11815
GeForce RTX 2070 with Max-Q Design,11712
GeForce GTX 1660,11686
Quadro P4000,11651
Radeon RX 5600,11587
GeForce GTX 1080 with Max-Q Design,11584
Intel Arc A580,11582
Radeon RX 7600M XT,11531
L4,11519
Intel Arc A770M,11513
Quadro P4200 with Max-Q Design,11447
RTX 500 Ada Generation Laptop GPU,11389
RTX A1000 Embedded GPU,11369
GeForce RTX 2060 (Mobile),11355
Radeon Pro Vega 48,11300
Quadro RTX 3000,11159
GeForce GTX 980,11123
GRID P40-12Q,11028
Radeon Pro SSG,10972
RTX A2000 8GB Laptop GPU,10951
RTX A4500 Embedded GPU,10916
Tesla T4,10833
GeForce RTX 3050 6GB,10769
Quadro P4200,10685
Intel Arc A730M,10488
GeForce GTX 1070 (Mobile),10465
GeForce RTX 3050 6GB Laptop GPU,10446
Tesla M40 24GB,10418
Tesla M40,10377
GeForce GTX 1660 Ti (Mobile),10181
GeForce RTX 3050 Ti Laptop GPU,10162
GeForce GTX 1650 SUPER,10157
RTX A1000 6GB Laptop GPU,10153
GeForce GTX 1060,10073
RTX A2000 Laptop GPU,9971
Radeon R9 Fury X,9961
GeForce GTX 1070 with Max-Q Design,9894
GRID P40-2B,9842
GeForce GTX 1060 3GB,9758
GeForce RTX 2060 with Max-Q Design,9747
Radeon R9 Fury + Fury X,9741
GeForce GTX 970,9642
Radeon R9 Fury,9592
Radeon RX 6500 XT,9541
GeForce GTX 780 Ti,9521
RTX A1000 Laptop GPU,9462
Ryzen 9 4900HSS with Radeon Graphics,9461
Parsec Virtual Display Adapter,9458
GeForce RTX 3050 Laptop GPU,9454
Radeon R9 390X,9440
Quadro M5000,9414
Radeon RX 590,9407
Radeon RX 6550M,9360
Quadro P2200,9322
Quadro P3200 with Max-Q Design,9316
Radeon Pro 5600M,9233
Radeon RX 5500 XT,9156
Radeon Pro W5500,9119
GRID P40-2B4,9111
Quadro P4000 with Max-Q Design,9083
GeForce GTX 1060 5GB,9058
GeForce GTX TITAN Z,8987
GeForce GTX TITAN Black,8939
Radeon R9 390,8915
Radeon RX 580,8871
Quadro P3200,8860
Radeon RX 5500,8843
Tesla P4,8768
GRID P40-24Q,8719
Radeon RX 5600M,8718
Radeon R9 290X,8638
Radeon RX 480,8626
Radeon R9 295X2,8618
GeForce GTX 1660 Ti with Max-Q Design,8615
Radeon RX590 GME,8592
GRID RTX6000-1B,8473
Radeon R9 290X / 390X,8389
Ryzen 5 4600HS with Radeon Graphics,8371
Radeon Pro 5500 XT,8359
Quadro RTX 3000 with Max-Q Design,8350
Radeon R9 290,8309
Tesla V100-PCIE-32GB,8260
GeForce GTX Titan,8190
Radeon Pro Duo,8164
GeForce GTX 1060 (Mobile),8161
Radeon R9 290 / 390,8150
CMP 30HX,8136
Quadro K6000,8053
Radeon PRO W6400,8047
Intel Arc Pro A60,8033
Radeon RX 470/570,8015
Ryzen 9 6900HS,8005
GeForce GTX 780,8004
FirePro W9100,7987
Quadro M5500,7915
GeForce GTX 1060 with Max-Q Design,7899
Radeon Pro WX 7100,7898
Radeon RX 780,7898
GeForce GTX 1650,7876
T1200 Laptop GPU,7871
Radeon RX 6500M,7860
Radeon RX 580X,7798
Radeon Pro 580,7753
Radeon RX 580 2048SP,7701
GeForce RTX 2050,7677
Radeon RX 5300,7641
T1000,7640
Radeon RX 6500,7629
T1000 8GB,7607
GeForce GTX 1650 Ti,7571
Tesla M60,7551
Radeon RX 6400,7551
Radeon Pro 580X,7540
GRID P40-8Q,7432
Ryzen 9 4900HS with Radeon Graphics,7419
Radeon Ryzen 9 6900HS,7384
Radeon Pro W5500X,7351
GeForce GTX 980M,7349
FirePro W8100,7279
Tesla P100-PCIE-16GB,7225
Quadro T2000,7184
Radeon Pro 5300,7144
AMD Ryzen Z1 Extreme,7096
Radeon 780M,7081
RadeonT 780M,7078
T600 Laptop GPU,7052
A10-8Q,7042
Ryzen 7 4800HS with Radeon Graphics,6999
GeForce GTX 1650 (Mobile),6969
Quadro M5000M,6933
Quadro P2000,6929
Quadro T2000 with Max-Q Design,6900
GRID P4-4Q,6843
RTX A500 Laptop GPU,6818
Radeon Pro 5500M,6813
CMP 40HX,6778
GeForce RTX 3050 4GB Laptop GPU,6768
GRID P4-8Q,6733
Quadro T1000 with Max-Q Design,6721
Radeon Pro WX 7130,6715
GeForce GTX 970XM FORCE,6707
Radeon R9 285,6680
Quadro M4000,6678
Ryzen 7 6800HS with Radeon Graphics,6677
Radeon RX Vega M GH,6570
Quadro P3000,6564
Quadro T1000,6488
T600,6465
GeForce GTX 1650 Ti with Max-Q Design,6419
P106-100,6390
Radeon Pro 570,6337
GeForce GTX 1050 Ti,6318
Radeon 660M Ryzen 5 6600H,6286
Tesla M6,6284
Intel Arc A530M,6238
Radeon Ryzen 9 PRO 6950H,6237
Radeon Ryzen 7 6800HS,6228
Intel Arc A380,6220
Quadro M4000M,6210
Radeon R9 380X,6194
Radeon R9 280X,6191
GeForce GTX 1650 with Max-Q Design,6171
Radeon 680M Ryzen 7 7735HS,6167
Radeon R9 380,6144
FirePro W9000,6138
Ryzen 9 6900HS with Radeon Graphics,6098
GeForce GTX 960,6073
Quadro K5200,6062
Radeon Ryzen 9 6900HS Creator Edition,6012
GeForce MX570 A,5975
Radeon Pro 5300M,5967
GRID P100-16Q,5945
Radeon 760M,5926
GeForce GTX 770,5921
GeForce GTX 1050 Ti (Mobile),5919
Radeon PRO W6300,5898
Intel Arc Pro A30M,5862
Tesla K80,5852
RadeonT 760M,5846
Ryzen 9 PRO 6950H with Radeon Graphics,5828
Matrox LUMA A380P,5805
Radeon Ryzen 7 7736U,5792
Radeon Ryzen 7 PRO 6850H,5767
Ryzen 9 PRO 6950H,5759
GeForce MX570,5749
Radeon RX 6300,5741
GeForce GTX 970M,5740
Radeon PRO Ryzen 7 PRO 6850U,5707
GRID T4-8Q,5680
RadeonT 680M Ryzen 7 7735HS,5651
Ryzen 7 PRO 6850U,5581
Intel Arc A310,5577
GeForce GTX 690,5572
Ryzen 9 5900HS with Radeon Graphics,5570
Radeon Pro WX 5100,5569
Radeon HD 7990,5566
Radeon R9 280,5559
GeForce GTX 680,5558
Radeon R9 285 / 380,5550
Quadro M3000M,5530
GRID M60-8A,5523
Radeon TM,5513
Radeon RX 5500M,5503
Radeon Ryzen 7 6800HS Creator Edition,5465
GeForce GTX 760 Ti OEM,5427
Radeon Ryzen 7 7735HS,5398
Ryzen 7 6800HS Creator Edition,5382
Radeon Eng Sample: 100-000000534-40_Y,5380
Ryzen 9 6900HX with Radeon Graphics,5367
GRID P40-4Q,5365
GeForce GTX 1050 Ti with Max-Q Design,5363
Radeon Ryzen 7 6800H,5343
GeForce GTX 950,5339
Quadro P2000 with Max-Q Design,5333
GeForce GTX 670,5330
Radeon Pro Vega 20,5300
FirePro W7100,5259
Radeon HD 7970 / R9 280X,5248
Ryzen 7 6800H,5248
GeForce GTX 760 Ti,5241
Ryzen 7 6800HS,5237
Radeon Eng Sample: 100-000000550-40_Y,5224
Ryzen 7 7735U with Radeon Graphics,5216
Radeon HD 8990,5214
Radeon Ryzen 7 7735U,5208
GRID M60-2Q,5203
Radeon R9 M395X,5195
Radeon Ryzen 7 PRO 6850U,5191
Radeon Ryzen 7 7735H,5191
Q12U-1,5164
Radeon R9 M295X,5150
Ryzen 7 7735HS with Radeon Graphics,5128
GeForce GTX 1050 3GB,5126
Intel Arc,5122
Ryzen 7 PRO 6850U with Radeon Graphics,5116
Intel Arc A370M,5115
Ryzen 7 PRO 6860Z,5077
FirePro S9000,5059
GRID T4-16Q,5055
EIZO Quadro MED-XN51LP,5048
GeForce GTX 1050,5048
Radeon Ryzen 7 PRO 6850HS,5026
Radeon Eng Sample: 100-000000545-40_Y,5026
Ryzen 7 6800U,5006
GeForce GTX 1630,4992
A16,4981
Radeon Instinct MI25 MxGPU,4979
Radeon R9 M395,4949
Barco MXRT 7600,4944
GRID P40-1A,4909
FirePro S9050,4901
Radeon R9 270X,4879
Ryzen 7 PRO 6860Z with Radeon Graphics,4869
T550 Laptop GPU,4845
GRID P40-2Q,4844
Ryzen 7 6800U with Radeon Graphics,4829
Radeon Pro Vega 16,4809
Ryzen 7 6800H with Radeon Graphics,4801
GeForce GTX 760,4794
GRID RTX6000P-6Q,4777
FirePro S10000,4768
Radeon HD 7950 / R9 280,4765
Radeon Sky 500,4764
Radeon Eng Sample: 100-000000560-40_Y,4749
Radeon R9 370,4722
Ryzen 9 PRO 6950HS with Radeon Graphics,4705
GRID V100D-2Q,4668
Radeon Pro WX Vega M GL,4643
Radeon HD 7870,4637
Radeon Ryzen 7 PRO 6860Z,4594
A16-2Q,4583
Radeon Ryzen 7 6800U,4575
GeForce MX550,4573
GeForce GTX 580,4565
B8DKMDAP,4557
Radeon Pro 465,4538
FirePro S7000,4524
Radeon R7 370,4520
Tesla K40c,4495
Radeon HD 7870 XT,4470
GeForce GTX 1050 (Mobile),4462
GRID M60-1B,4457
Quadro P1000,4454
Tesla K20m,4432
GRID P6-4Q,4429
GeForce GTX 660 Ti,4417
Radeon Ryzen 7 Pro 7735U,4409
FirePro W7000 Adapter,4359
GRID GTX P40-6,4340
Quadro K4200,4323
Radeon RX 5300M,4307
Radeon R9 270,4306
FirePro W7000,4288
GRID RTX6000P-4Q,4283
Radeon R9 270 / R7 370,4260
Radeon Ryzen 9 PRO 6950HS,4251
Quadro M2200,4249
RTXA6000-8Q,4237
NVIDIA A40-4Q,4230
NVIDIA A40-8Q,4220
Radeon Ryzen 9 7950X 16-Core,4183
A16-4Q,4166
GRID RTX8000P-12A,4166
GRID V100D-8Q,4156
GeForce GTX 680MX,4142
Winsta0\\Default,4125
GeForce GTX 480,4107
Radeon RX 460,4103
FirePro W8000,4096
GeForce GTX 1050 with Max-Q Design,4078
Radeon PRO Ryzen 5 PRO 6650U,4067
RadeonT 660M Ryzen 5 7535HS,4051
Radeon Eng Sample: 100-000000561-40_Y,4042
Radeon 660M Ryzen 5 7535HS,4029
Radeon HD 7800-serie,4029
GeForce GTX 660,4000
Quadro K5000,3988
Quadro M2000,3985
GRID RTX8000-4Q,3961
Radeon RX 7600M,3940
GeForce GTX 570,3929
GRID P6-2Q,3926
GeForce GTX 750 Ti,3903
GRID M60-8Q,3884
Radeon HD 8970M,3876
Matrox LUMA A310F,3873
Intel Arc A310 LP,3862
Radeon HD 7850,3862
GeForce GTX 780M,3848
GRID RTX8000P-2Q,3843
EIZO MED-XN43,3843
Radeon Eng Sample: 100-000000562-40_Y,3841
GRID M60-4Q,3831
GRID V100-2Q,3811
GeForce GTX 880M,3804
GeForce GTX 965M,3794
Radeon Ryzen 5 6600H,3776
Radeon Ryzen 5 6600HS Creator Edition,3756
Barco MXRT 7500,3753
Radeon Ryzen 7 4800HS,3752
P104-100,3743
Ryzen 7 PRO 6850HS with Radeon Graphics,3736
GeForce MX450,3733
Ryzen 5 PRO 6650H with Radeon Graphics,3727
T400 4GB,3727
Radeon Ryzen 5 PRO 6650H,3725
Radeon Ryzen 5 7535HS,3699
T500,3696
GRID M60-1Q,3695
Eng Sample: 100-000000545-40_Y,3692
Matrox LUMA A310,3690
Radeon Ryzen 5 PRO 6650U,3681
Ryzen 5 7535HS with Radeon Graphics,3680
Radeon Pro 560X,3678
Ryzen 5 6600HS Creator Edition,3671
Radeon R9 M485X,3661
Radeon RX 560,3646
Radeon Pro WX 4100,3639
Quadro P620,3634
T400,3631
Radeon RX Vega M GL,3602
GeForce GTX 775M,3600
Radeon R9 M390X,3597
GRID RTX8000-2Q,3574
GeForce GTX 680M KY_Bullet Edition,3569
GRID M6-8Q,3568
Quadro K2200,3548
Radeon Ryzen 7 4800H,3547
Microsoft Basic Display Adapter Ryzen 5 3550H,3537
Radeon HD 7970M,3529
Ryzen 5 7535U with Radeon Graphics,3529
Ryzen 5 6600H with Radeon Graphics,3525
Ryzen 5 PRO 6650U,3519
GRID K520,3516
Ryzen 5 PRO 6650U with Radeon Graphics,3515
Quadro 7000,3505
Radeon Pro 560,3475
Quadro K2200M,3469
Quadro M2000M,3458
Radeon Pro 460,3453
GRID T4-2Q,3451
GeForce GTX 870M,3450
Radeon 740M,3444
Radeon Ryzen 5 7535U,3433
Tesla C2050 / C2070,3428
NVIDIA A10-4Q,3425
GeForce GTX 960M,3396
Radeon Ryzen 5 6600U,3395
NVIDIA A40-12Q,3371
Radeon Eng Sample: 100-000000261-50_Y,3370
Radeon HD8970M,3369
Radeon E8870PCIe,3368
GRID M10-1Q,3351
GeForce GTX 750,3350
GeForce GTX 590,3341
GeForce GTX 650 Ti BOOST,3338
GRID T4-1Q,3303
Tesla K40m,3281
Quadro P600,3281
GRID P100-8Q,3267
Radeon R9 M290X,3263
GRID T4-4Q,3260
GeForce 770M,3246
Radeon R9 M470X,3244
Eng Sample: 100-000000534-40_Y,3237
Ryzen 5 6600U with Radeon Graphics,3233
Quadro M1200,3230
GeForce GTX 680M,3216
GRID P4-8A,3206
Radeon RX 560X,3197
Radeon R7 260X,3186
Radeon R9 260,3182
Tesla C2050,3176
Tesla M10,3172
FirePro V7000,3162
FirePro W7170M,3162
Intel Graphics,3144
A16-2B,3141
Radeon Pro 555,3141
Radeon Pro 455,3113
GeForce GTX 470,3107
Quadro K5100M,3105
Radeon R7 360,3095
Matrox LUMA A310FP,3093
Radeon HD 7790,3090
GeForce GTX 960A,3075
Radeon Ryzen 5 Pro 7535U,3060
GeForce GTX 560 Ti,3043
EIZO MED-X5000,3038
GeForce GTX 860M,3037
Radeon R9 360,3032
Tesla C2075,3017
Radeon HD 6990,3013
FirePro W5100,2989
FirePro W5000,2977
GRID M10-4Q,2977
Radeon Ryzen 9 5900H,2961
GRID K260Q,2949
Quadro K1200,2930
Tesla K20Xm,2918
Snapdragon X Elite - X1E84100 - Qualcomm Adreno GP,2917
Ryzen 7 5800HS with Radeon Graphics,2917
Radeon R7 260,2892
Ryzen 9 5900HX with Radeon Graphics,2891
Ryzen 7 PRO 4700G with Radeon Graphics,2880
FirePro M6100 FireGL V,2872
Quadro M1000M,2865
Eng Sample: 100-000000261-50_Y,2860
Radeon Pro V340 MxGPU,2853
Custom GPU 0405,2849
Tesla C2070,2840
GRID K280Q,2840
Radeon HD 6970,2836
Radeon Ryzen 7 5800H,2825
FirePro W4300,2820
FirePro 3D V9800,2812
GeForce MX350,2808
GeForce GTX 770M,2802
Quadro M620,2801
Ryzen 7 5700G with Radeon Graphics,2796
Radeon R9 M380,2763
Quadro K4100M,2754
Quadro K5000M,2752
Radeon Ryzen 9 5980HS,2749
Radeon Eng Sample: 100-000000300-30_Y,2742
Radeon Ryzen 5 5500GT,2741
GeForce GTX 560,2741
Ryzen 7 5800H with Radeon Graphics,2740
GRID K2,2737
Radeon HD 8950,2733
Radeon RX 550,2728
FirePro S7150,2727
FirePro V9800,2727
Quadro K4000,2725
Radeon Pro 450,2723
Ryzen 9 4900H with Radeon Graphics,2714
Quadro 6000,2709
Ryzen 7 5700GE with Radeon Graphics,2702
Barco MXRT 5500,2702
GRID M10-2Q,2692
Intel Iris Xe,2685
Ryzen 7 Pro 4750G with Radeon Graphics,2682
Radeon Eng Sample: 100-000000300-40_Y,2670
GeForce GTX 465,2663
Radeon Ryzen 5 5600GT,2647
FirePro R5000,2647
GeForce GTX 675MX,2642
GRID P6-4A,2639
MONSTER GeForce GTX 675M,2637
Radeon HD 6950,2617
A40-24Q,2616
Radeon Pro WX 4150,2615
Radeon Ryzen 9 7900X 12-Core,2611
Radeon Ryzen 7 4700GE,2610
Radeon RX Vega 11 Ryzen 7 3700U,2602
Ryzen 5 5600GE with Radeon Graphics,2602
GRID T4-2B,2601
Snapdragon X Elite - X1E78100 - Qualcomm Adreno GP,2599
Radeon Ryzen 7 4700G,2598
Radeon Ryzen 7 PRO 4750G,2598
